"Compound"	"Reactions of compounds"
CPD-155	GALACTOSE-OXIDASE-RXN
HYDROXYBENZOQUINONE	1.6.5.7-RXN // RXN-11965 // RXN-10136
CPD-18787	RXN-17379 // RXN-17377
CPD-383	PYRIDOXINE-5-DEHYDROGENASE-RXN
3-HYDROXY-1H-QUINOLIN-4-ONE	1.13.11.47-RXN
CPD-7411	1.1.1.199-RXN
CPD-1006	RXN-666 // RXN-665
CPD-9929	""
CPD-12508	""
CPD0-2219	""
CPD-9926	""
CPD-12505	RXN-11550 // RXN-11549
CPD0-2216	""
UDP-L-ARA4-FORMYL-N	RXN0-3521 // RXN0-1862
CPD-15319	RXN-16960 // RXN-16958
HCL	RXN-17586
CPD-18745	RXN-17342 // RXN-17341
CPD-3624	""
26-DIFLUORO-4-HYDROXYPHENYLPYRUVATE	""
CPD-7273	""
CO3	RXN-18032
CPD-9775	RXN-13587 // RXN-9199
CPD-12418	RXN-11446
CPD0-2153	""
TRANS-CYCLOHEXANE-12-DIOL	CYCLOHEXANE-12-DIOL-DEHYDROGENASE-RXN
CPD-15155	RXN-14186
GLUTARIMIDE	""
CPD-18685	RXN-17283 // RXN-17284
CPD-350	""
20S22S25S-2225-EPOXYFUROST	2.4.1.192-RXN
CPD-7227	1.14.11.24-RXN // 1.1.1.285-RXN // RXN-7983 // RXN-18075
CHLORDECONE-ALCOHOL	CHLORDECONE-REDUCTASE-RXN
CPD-9665	RXN-9144 // RXN-9142
CPD-12279	THIAZOLSYN2-RXN // RXN-13329 // RXN-8079 // RXN-11319 // RXN-12614
CPD0-2089	""
TETRACHLOROETHENE	1.97.1.8-RXN
CPD-15093	""
FMPP	""
CPD-18544	RXN-17151 // RXN-17142
CPD-3361	RXN-3501
CPD-7074	RXN-7760
2-O-CAFFEOYLGLUCARATE	2.3.1.98-RXN
CANAVANINOSUCCINATE	RXN-22 // RXN-10
CPD-9623	""
CPD0-2059	""
SUCC-S-ALD	SUCCSEMIALDDEHYDROG-RXN // SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN0-5293 // RXN-8891 // RXN-11002 // RXN-18258 // 4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN // 3.5.1.29-RXN // 4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN // RXN-14146 // RXN-14300 // RXN-6902 // RXN-13328 // RXN-13065 // RXN-13081 // GABATRANSAM-RXN // RXN-7774
CPD-12202	RXN-11247 // RXN-11249 // RXN-11251
CPD-14872	RXN-13866 // RXN-13865
ESTRADIOL-ETCETERA-GLUCURONOSIDE	2.4.1.39-RXN
CPD-18452	""
CPD-3186	RXN66-62 // RXN66-61
CPD-7025	RXN-7763 // RXN-7683
2-HYDROXYDAIDZEIN	RXN-4502 // RXN-4501
BISOHMYR-GLUCOSAMINYL-1P	LIPIDADISACCHARIDESYNTH-RXN // LIPIDXSYNTHESIS-RXN
CPD-9583	RXN-9079
CPD0-2022	""
SHIKIMATE-5P	2.5.1.19-RXN // SHIKIMATE-KINASE-RXN
CPD-12084	RXN-11105 // RXN-11116 // RXN-11739 // RXN-11113
CPD-14642	RXN-17671 // RXN-13640
DOH-ISO-VAL	""
CPD-18343	""
CPD-282	CYCLOHEXANONE-DEHYDROGENASE-RXN
CPD-6979	RXN-7629 // RXN-7628
2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE	RXN-9869 // RXN-9913 // RXN-9893 // RXN-9892
BENZYL-2R3S-2-METHYL-3-HYDROXYBUTANOA	1.1.1.217-RXN
CPD-9517	RXN-9293 // RXN-9030 // RXN-9028
CPD0-1941	""
S-TETRAHYDROCOLUMBAMINE	2.1.1.89-RXN // 1.1.3.36-RXN // RXN-8698 // 2.1.1.117-RXN
CPD-11975	RXN-11015 // RXN-6501
CPD-14557	RXN-16320 // RXN-16319 // RXN-16318
DIMETHYLBENZIMIDAZOLE	DMBPPRIBOSYLTRANS-RXN // RXN-17125 // TRANS-RXN0-463 // RXN-8771
CPD-18328	RXN-17005 // RXN-17006 // RXN-17002
CPD-2542	1.2.1.45-RXN // R107-RXN
2-AMINO-5-OXOCYCLOHEX-1-ENECARBOXYL-COA	ANTHRANILOYL-COA-MONOOXYGENASE-RXN
CPD-6959	RXN-11896 // RXN-12805
ASPARAGUSATE	ASPARAGUSATE-REDUCTASE-NADH-RXN
CPD-9438	1.1.1.291-RXN // RXN-7640
S-CHEILANTHIFOLINE	1.1.3.32-RXN // 1.14.21.2-RXN
CPD-11864	""
CPD0-1901	""
CPD-14445	""
DIHYDROMETHANOPHENAZINE	RXN-8106 // 1.8.98.1-RXN // RXN-7733
CPD-18271	RXN-16946 // RXN-16945
CPD-233	BETA-LYSINE-56-AMINOMUTASE-RXN // RXN-18530 // LYSINE-23-AMINOMUTASE-RXN
17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-	1.1.1.149-RXN
CPD-688	R342-RXN // R341-RXN
AMINO-HYDROXYMETHYL-METHYL-PYR-P	PYRIMSYN3-RXN // RXN0-3543 // OHMETPYRKIN-RXN // RXN3O-3797 // PYRIMSYN1-RXN
CPD-9383	""
RIBOSE-TRIPHOSPHATE	""
CPD-11704	""
CPD0-1763	""
CPD-14360	RXN-13390 // RXN-13389
DIETHYL-2-METHYL-3-OXOSUCCINATE	1.1.1.229-RXN
CPD-18155	RXN-16832
PHORBOL-1213-DIBUTANOATE	PHORBOL-DIESTER-HYDROLASE-RXN
CPD-20111	RXN-18814 // RXN-18813
124-TCB	RXN-9877 // LINABSPON-RXN
CPD-6642	RXN-7142
ALPHA-N-ACETYL-ETCETERA-ESTRADIOL-GLUCUR	2.4.1.39-RXN
CPD-9329	RXN-9719 // RXN-8927 // RXN-8926
QUINOLINATE	QUINOPRIBOTRANS-RXN // RXN-5721 // QUINOLINATE-SYNTHE-MULTI-RXN // QUINOLINATE-SYNTHA-RXN
CPD-11636	""
CPD0-1691	""
CPD-14289	RXN-13311 // RXN-13310
DEMETHYLMACROCIN	DEMETHYLMACROCIN-O-METHYLTRANSFERASE-RXN // RXN-15058
CPD-18024	RXN-16712
PANTOTHENOL	""
CPD-20002	RXN-18718
1122-TETRACHLOROETHANE	""
CPD-6404	""
ALLYL-ALCOHOL	ALLYL-ALCOHOL-DEHYDROGENASE-RXN // RXN-12087
CPD-9225	""
PYRROLE-2-CARBOXYLATE	RXN-12222 // RXN-12388 // RXN-12342
CPD-11534	RXN-12602 // RXN-12879 // RXN-12593
CPD0-1662	""
CPD-14135	""
D-XYLONATE	XYLONATE-DEHYDRATASE-RXN // RXN-14022 // RXN-12246 // XYLONO-14-LACTONASE-RXN
CPD-1786	1.14.12.9-RXN // 3.5.5.5-RXN
OXALO-SUCCINATE	RXN-8642 // RXN-9951 // RXN-8457 // R23-RXN
CPD-19923	RXN-18630 // RXN-18631
1-RADYL-2-ACETYL-SN-GLYCERO-3-PHOSPHOLIP	2.3.1.149-RXN
CPD-6162	""
ACETYLENE	R141-RXN
CPD-9137	RXN-17165 // RXN-8823
PRENOL	PRENYL-PYROPHOSPHATASE-RXN
CPD-11398	RXN-10606
CPD0-1628	""
CPD-14092	RXN-13088 // RXN-13077 // RXN66-147
D-BETA-D-HEPTOSE-1-P	RXN0-4342 // RXN0-4361
CPD-17727	RXN-16495 // RXN-16494
NONANE-46-DIONE	BETA-DIKETONE-HYDROLASE-RXN
CPD-19779	RXN-8838 // RXN-8837
1-34-DIMETHYLPHENYLETHANE-12-DIOL	""
CPD-601	S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN
8-THIO-OCTANOATE	""
CPD-9028	""
CPD-11245	RXN-16945 // RXN-16950
CPD0-1598	""
CPD-14000	RXN-12966 // RXN-12967
CREPENYNATE	""
CPD-17573	RXN-16312
N-TETRADECANOYLGLYCYL-PEPTIDE	2.3.1.97-RXN
CPD-19679	""
CPD-5804	RXN-6142
7-DEOXYLOGANIN	1.14.13.74-RXN // RXN-15236 // RXN-9373
CPD-8984	3.3.2.9-RXN
CPD-1111	RXN-18015 // RXN-18043 // RXN-18016 // RXN-18007 // RXN-18008 // RXN-18380 // 2.7.7.40-RXN
CPD0-1567	""
CPD-13910	RXN-12873 // RXN-12872
CPD8J2-2	RXN8J2-3 // RXN8J2-2
CPD-175	2.4.2.33-RXN // 2.4.2.32-RXN
N-HYDROXYMETHYLUREA	3.5.3.21-RXN // RXN-13201
CPD-19563	""
CPD-565	3.5.1.29-RXN // 1.14.12.4-RXN
6-HYDROXY-NICOTINATE	RXN-7585 // RXN-7573 // 6-HYDROXYNICOTINATE-REDUCTASE-RXN // NICOTINATE-DEHYDROGENASE-RXN // RXN-11353 // RXN-7637
CPD-8882	""
CPD-10831	""
CPD0-1530	""
CPD-13812	RXN-6687 // RXN-6685
CPD66-59	RXN66-501
CPD-17179	RXN-15945 // RXN-15947
N-BUTYLATE	""
CPD-19464	RXN-18153 // RXN-18135
CPD-549	S-SUCCINYLGLUTATHIONE-HYDROLASE-RXN
5-TERT-BUTYLAMINOL-2-HYDROXYPRO-1234-TET	DIHYDROBUNOLOL-DEHYDROGENASE-RXN
CPD-8825	""
CPD-10777	RXN-10019
CPD0-1489	""
CPD-13713	RXN-12721 // RXN-12720
CPD66-102	""
CPD-16945	RXN-15720
N-ACETYL-BETA-D-GLUCOSAMINYL-12-ALPHA-D	""
CPD-19436	RXN-18135 // RXN-18128
CPD-535	3.1.3.46-RXN // 3.1.3.54-RXN // 6-PHOSPHOFRUCTO-2-KINASE-RXN
5-KETO-4-DEOXY-D-GLUCARATE	KDGALDOL-RXN // 4.2.1.41-RXN // RXN-15902 // RXN-15907 // RXN-16224 // GLUCARDEHYDRA-RXN // GALACTARDEHYDRA-RXN
CPD-8774	RXN-8583 // RXN-8580
CPD-1071	1.14.12.4-RXN // 4.1.1.51-RXN
CPD0-1465	""
CPD-13645	""
CPD0-914	""
CPD-16880	RXN-15654 // RXN-15653
MEVALDATE	MEVALDATE-REDUCTASE-NADPH-RXN // MEVALDATE-REDUCTASE-RXN
CPD-19408	RXN-18113 // RXN-18111
CPD-497	PSEUDOURIDINE-KINASE-RXN // TRANS-RXN0-538 // RXN-15703
5-AMINOPENTANOATE	VAGL-RXN // 1.21.4.1-RXN // 5-AMINOPENTANAMIDASE-RXN // PRDABST-RXN // RXN-10854 // RXN-8243 // AMVAL-RXN
CPD-8563	MYOSIN-LIGHT-CHAIN-PHOSPHATASE-RXN // 2.7.11.18-RXN
CPD-10648	RXN-9901
CPD0-1408	""
CPD-13473	RXN-16485 // HYALURONATE-LYASE-RXN
CPD0-2596	""
CPD-16661	""
M-TOPOLIN	""
CPD-19328	RXN-18048 // RXN-18047
CPD-4681	""
4-hydroxy-2-1H-quinolone	RXN-17704 // RXN-12952 // RXN-12950
CPD-8197	DIFRUCTOSE-ANHYDRIDE-SYNTHASE-RXN
CPD-10591	RXN-9850 // RXN-9848
CPD0-1359	""
CPD-13298	""
CPD0-2556	""
CPD-16493	""
LATHYRINE	RXN-48 // RXN-7
CPD-19253	RXN-17970 // RXN-17968
CPD-455	2.4.1.160-RXN
4-IMIDAZOLEACETATE	6.3.4.8-RXN // IMIDAZOLEACETATE-4-MONOOXYGENASE-RXN // RXN-10089
CPD-7992	""
CPD-10530	""
CPD0-1296	""
CPD-13109	RXN-15954 // RXN-12161
CPD0-2523	""
CPD-162	2.3.1.126-RXN
L-DI-GMP	RXN0-4181
CPD-19111	RXN-17701
CPD-449	2.4.1.96-RXN
4-AMINOBUTANOYL-COA	4-ACETAMIDOBUTYRYL-COA-DEACETYLASE-RXN
CPD-7863	""
CPD-10318	RXN-9700
CPD0-1236	""
CPD-12983	4.2.2.12-RXN
CPD0-2475	""
CPD-15945	RXN-15060 // RXN-15061
ISOSCOPARIN	ISOORIENTIN-3-O-METHYLTRANSFERASE-RXN
CPD-19037	RXN-17603 // RXN-17602
CPD-430	ORNITHINE-N-BENZOYLTRANSFERASE-RXN
3-PYRIDYLACETIC-ACID	RXN66-145
CPD-7705	RXN-17566
CPD-10211	RXN-9574 // RXN-9571
CPD0-1160	""
CPD-12797	RXN-17944
CPD0-2368	""
CPD-159	R125-RXN // 1.4.1.11-RXN
INDOLE_PYRUVATE	4.1.1.74-RXN // RXNDQC-2 // RXN-14685 // RXN-15608 // 1.2.7.8-RXN // RXN-17530 // TRYPTOPHAN-DEHYDROGENASE-RXN // RXN-10139 // 2.6.1.28-RXN // INDOLELACTATE-DEHYDROGENASE-RXN // TRYPTOPHAN-AMINOTRANSFERASE-RXN
CPD-19007	RXN-17587 // RXN-17585 // RXN-17586
CPD-4202	RXN-4310 // RXN-4304
3-O-BETA-GLUCOSYL-2-OXINDOLE-3-ACETYL-	RXN-3202
CPD-7659	""
CPD-10129	""
CPD0-1096	RXN0-7139 // RXN-16424
CPD-12763	RXN-11784
CPD0-2306	""
CPD-157	MHPCHYDROL-RXN // 1.13.11.16-RXN
IMIDAZOLE-PROPIONATE	""
CPD-18937	RXN-17532 // RXN-17536 // RXN-17531
CPD-4023	""
3-HYDROXYPHENYLACETYL-COA	""
CPD-761	CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN
CPD-10091	RXN-9453 // RXN-9452
CPD0-1036	""
CPD-12591	""
CPD0-2273	""
VIOLACEIN	RXN-13343
CPD-15434	RXN-14563
HYDROXYACETONE-PHOSPHATE	PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN
CPD-18784	""
CPD-3767	""
3-DEHYDRO-SHIKIMATE	RXN-12131 // DHSHIKIMATE-DEHYDRO-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // RXN-7968 // SHIKIMATE-PQQ-RXN // RXN-11174 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN
CPD-74	4-METHYLENEGLUTAMINASE-RXN // 4-METHYLENEGLUTAMATE--AMMONIA-LIGASE-RXN
CPD-10024	""
CPD-10019	RXN-9387
CPD-9923	O-SUCCINYLBENZOATE-COA-SYN-RXN // RXN-9310
CPD-12484	RXN-17332
CPD0-2202	""
TRYPANOTHIONE-DISULFIDE	1.8.1.12-RXN
CPD-153	R213-RXN // R212-RXN
H2CO3	RXN-18031 // CARBODEHYDRAT-RXN
CPD-18742	RXN-17345 // RXN-17338
CPD-3621	""
25-DIDEHYDRO-D-GLUCONATE	RXN-12105 // RXN0-7020 // YIAE1-RXN // 1.1.1.274-RXN // DEHYDROGLUCONATE-DEHYDROGENASE-RXN
CPD-7268	3.5.1.91-RXN // RXN-12949
CIS-N-METHYL-S-781314-TETRAHYDROPRO	2.1.1.122-RXN
CPD-9772	RXN-9197 // RXN-9196
CPD-12388	RXN-11437 // RXN-11429
CPD0-2147	""
THIOPHENE-2-CARBONYL-COA	1.14.99.35-RXN
CPD-15140	RXN-14159
GLUTACONATE	GLUTACONATE-COA-TRANSFERASE-RXN
CPD-18635	1.2.1.61-RXN // RXN-8740
CPD-3487	RXN66-185
CPD-7189	""
CETRAXATE-BENZYL-ESTER	CETRAXATE-BENZYLESTERASE-RXN
CPD-9639	""
CPD-12266	RXN-11306 // RXN-11305
CPD0-2086	""
TESTOLATE	STEROID-LACTONASE-RXN
CPD-15030	RXN-14013
FECOSTEROL	RXN3O-203 // RXN3O-178
CPD-18536	RXN-17143 // RXN-17151
CPD-333	2-OXOADIPATE-REDUCTASE-RXN
CPD-7066	RXN-14121 // RXN-7745 // RXN-18333 // RXN-7744
2-METHOXYETHYLAMINE	""
CAFFEOYLSHIKIMATE	RXN-2621 // RXN-2581
CPD-9620	""
CPD0-2055	""
STRICTOSIDINE	RXN-10859 // STRICTOSIDINE-BETA-GLUCOSIDASE-RXN // STRICTOSIDINE-SYNTHASE-RXN
CPD-12199	RXN-11244 // RXN-13392 // RXN-11245
CPD-14792	RXN-14259 // RXN-14258
ENT-KAUR-16-EN-19-OL	RXN-5242 // 1.14.13.78-RXN
CPD-18448	RXN-17075 // RXN-17498 // RXN-17074
CPD-3183	RXN66-82
CPD-7022	""
2-HYDROXY-CHOLESTEROL	""
BIS2-ETHYLHEXYLPHTHALATE	BIS2-ETHYLHEXYLPHTHALATE-ESTERASE-RXN
CPD-9573	RXN-9078 // RXN-9075
CPD0-2019	""
SELENOLIPOATE	""
CPD-12048	""
CPD-14632	RXN-13632 // RXN-13631
DL-5-METHYLHYDANTOIN	""
CPD-18340	""
CPD-28	""
2-CH2-GLUTARATE	2-METHYLENEGLUTARATE-MUTASE-RXN // RXN-7640
BENZIMIDAZOLE	""
CPD-9500	RXN-9022
CPD0-1938	TRANS-RXN0-539
S-SCOULERINE	1.14.21.2-RXN // 2.1.1.117-RXN // RXN-10888 // RXN-15538 // RETICULINE-OXIDASE-RXN
CPD-11960	RXN-11004 // RXN-11003
CPD-14546	RXN-13558
DIMETHYLAMINE	RXN-8100 // 1.5.8.1-RXN // RXN-12901 // DIMETHYLARGININASE-RXN // 1.5.8.2-RXN // RXN-8102 // TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN // NN-DIMETHYLFORMAMIDASE-RXN
CPD-18320	""
CPD-2483	""
2-AMINO-3-KETOADIPATE	""
CPD-6955	RXN-7822 // RXN-7578
ARACHIDONYL-COA	RXN-16079 // RXN-16064 // ARACHIDONATE--COA-LIGASE-RXN
CPD-9433	5.3.3.15-RXN
S-ACETYLPHOSPHOPANTETHEINE	2.3.1.49-RXN
CPD-11831	RXN-10872
CPD0-1891	""
CPD-14435	""
DIHYDROCLAVAMINATE	RXN-6267 // RXN-6266
CPD-18258	RXN-16934 // RXN-16941
CPD-2202	6-BETA-HYDROXYHYOSCYAMINE-EPOXIDASE-RXN // HYOSCYAMINE-6-DIOXYGENASE-RXN
16-HYDROXYTABERSONINE	2.1.1.94-RXN // 1.14.13.73-RXN
CPD-682	4.2.3.11-RXN
AMIDINOPROCLAVAMINATE	3.5.3.22-RXN // 1.14.11.21-RXN
CPD-9376	RXN-8952 // RXN-8950
RAUCAFFRICINE	RAUCAFFRICINE-BETA-GLUCOSIDASE-RXN // 2.4.1.219-RXN
CPD-11676	""
CPD0-1760	""
CPD-14343	RXN-13371 // RXN-13370 // RXN-14254
DIAMINONONANOATE	DETHIOBIOTIN-SYN-RXN // RXN-14930 // DAPASYN-RXN
CPD-18152	RXN-16829 // RXN-16828
PHENYLHYDANTOIN	RXN0-275
CPD-20069	RXN-18774 // RXN-18773
12-HYDROXYDIHYDROCHELIRUBINE	2.1.1.120-RXN // 1.14.13.57-RXN
CPD-661	RXN-14224 // MALONATE-SEMIALDEHYDE-DEHYDRATASE-RXN
ALPHA-METHYLDOPA	""
CPD-9291	""
QUINOLIN-28-DIOL	1.14.13.61-RXN
CPD-11597	""
CPD0-1686	""
CPD-14262	RXN-13310 // RXN-13754 // RXN-14259 // RXN-13283
DELTA1-PIPERIDEINE-2-CARBOXYLATE	RXN-8172 // RXN-14210 // LYSINE-DEHYDROGENASE-RXN // RXN-8166
CPD-17999	""
PAMIDRONATE	""
CPD-20	R7-RXN // R8-RXN
1112-TETRACHLOROETHANE	""
CPD-637	6-METHYLSALICYLATE-DECARBOXYLASE-RXN // 2.3.1.165-RXN
ALIZARIN	ALIZARIN-2-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-9105
CPD-921	GSCYSDEG-RXN // GSCYSSYN-RXN
PYRAZOLE	2.5.1.51-RXN // PYRAZOLYLALANINE-SYNTHASE-RXN // RXN-7441
CPD-11498	""
CPD0-1659	""
CPD-14127	RXN-13166 // RXN-13124 // RXN-13121
D-MANNOSYL-1-PHOSPHOUNDECAPRENOL	2.4.1.54-RXN
CPD-17808	RXN-16552
ORSELDEP-CPD	ORSELLINATE-DEPSIDE-HYDROLASE-RXN
CPD-19919	""
1-INDANOL	INDANOL-DEHYDROGENASE-RXN
CPD-613	RXN-13319 // 1.3.1.40-RXN // BIPHENYL-23-DIOL-12-DIOXYGENASE-RXN
ACETYL-ETCETERA-L-ASPARAGINE	3.5.1.26-RXN // 3.2.2.11-RXN
CPD-9112	""
PREGNAN-21-AL	1.1.1.151-RXN // 1.1.1.150-RXN
CPD-1132	PROPIOIN-SYNTHASE-RXN
CPD0-1624	""
CPD-14082	RXN-13069
D-2-AMINO-HEXANO-6-LACTAM	5.1.1.15-RXN
CPD-17722	RXN-16492 // RXN-16491
NITRAPYRIN	""
CPD-19773	""
-CIS-SABINOL	+-SABINOL-DEHYDROGENASE-RXN // RXN-12970
CPD-5962	RXN-9726 // 1.1.1.277-RXN
8-HYDROXYQUINOLINE	RXN-14154
CPD-9024	""
CPD-11231	RXN-10434
CPD0-1591	""
CPD-13992	RXN-11813
CPDQT-410	RXNQT-4323 // RXNQT-4318
CPD-17563	""
N-QUINOLIN-8-YLMETHANESULFONAMI	""
CPD-19608	""
CPD-578	ALLOPHANATE-HYDROLASE-RXN // RXN-8930 // UREA-CARBOXYLASE-RXN
6R-6-FLUORO-EPSP	""
CPD-8980	""
CPD-11019	""
CPD0-1558	""
CPD-13907	RXN-12861 // RXN-12862
CPD6666-3	""
CPD-17490	RXN-16243
N-HYDROXY-4-ACETYLAMINONBIPHENYL	2.3.1.56-RXN
CPD-19560	""
CPD-562	TRANS-EPOXYSUCCINATE-HYDROLASE-RXN
6-DEMETHYLSTERIGMATOCYSTIN	2.1.1.109-RXN // RXN-9496
CPD-8874	""
CPD-10826	RXN-10085 // RXN-10083
CPD0-1520	""
CPD-13770	RXN-12762 // RXN-12733
CPD66-56	RXN66-493 // RXN66-492
CPD-17080	RXN-15820 // RXN-15821
N-BENZOYL-4-HYDROXYANTHRANILATE	2.1.1.105-RXN
CPD-1946	2.4.1.193-RXN
CPD-5482	""
5-PHOSPHORIBOSYL-45-AMINOIMIDAZOLE	""
CPD-8822	""
CPD-10774	RXN-15982 // TRANS-RXN0-454 // TRANS-RXN0-453 // RXN-10017
CPD0-1485	""
CPD-13707	""
CPD1G-121	RXN1G-129 // 1.2.1.66-RXN
CPD-16941	RXN-15717
N-ACETOXY-4-AMINOBIPHENYL	2.3.1.56-RXN
CPD-19431	RXN-18125 // RXN-18124
CPD-526	URONOLACTONASE-RXN
5-HYDROXYPENTANOATE	5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN
CPD-869	RXN-13045 // R547-RXN
CPD-10696	""
CPD0-1457	""
CPD-13557	3.2.1.130-RXN
CPD0-888	RXN0-5409 // RXN0-3521
CPD-16843	RXN-15607
METHYLMETHANETHIOSULFONATE	""
CPD-19396	""
CPD-491	FARNESYL-DIPHOSPHATE-KINASE-RXN
5-AMINO-5-DEOXY-D-GALACTOPYRANOSIDE	""
CPD-8529	THIOL-OXIDASE-RXN
CPD-10641	""
CPD0-1405	""
CPD-13466	""
CPD0-2588	""
CPD-16636	""
LUTEOLIN-7-O-BETA-D-DIGLUCURONIDE	2.4.1.191-RXN // RXN-15290 // RXN-15288 // 2.4.1.190-RXN // RXN-15289
CPD-19324	RXN-18045 // RXN-18044
CPD-464	RXNARA-8002 // RXN-12245 // 2.5.1.32-RXN
4-SULFOBENZALDEHYDE	SYDDEHYD-RXN // SOLDEHYD-RXN
CPD-8171	RXN-8372
CPD-10588	RXN-9846 // RXN-9845
CPD0-1353	""
CPD-13245	""
CPD0-2551	""
CPD-16485	RXN-15270
L-TYROSINE-METHYL-ESTER-4-SULFATE	TYROSINE-ESTER-SULFOTRANSFERASE-RXN
CPD-19236	RXN-17956 // RXN-17955
CPD-4542	""
4-HYDROXYMUCONIC-SEMIALDEHYDE	""
CPD-7988	""
CPD-10495	LEGHEMOGLOBIN-REDUCTASE-RXN
CPD0-1276	""
CPD-13085	RXN-12132 // RXN-12131
CPD0-2514	""
CPD-16172	RXN-15186 // RXN-15188 // RXN-15191 // RXN-15187
L-ARABINO-1-5-LACTONE	""
CPD-19089	RXN-17673 // RXN-17672
CPD-4461	RXN-10797
4-AMINO-4-DEOXYCHORISMATE	ADCLY-RXN // PABASYN-RXN
CPD-7848	RXN-8183
CPD-10257	RXN-9620 // RXN-9619
CPD0-1231	""
CPD-12975	""
CPD0-2466	""
CPD-15930	""
ISOPROPYLAMINE	RXN-8940 // R123-RXN // RXN-8938
CPD-19033	RXN-17596 // RXN-17595
CPD-4243	1.14.13.91-RXN
3-P-HYDROXYPYRUVATE	RXN0-6562 // RXN-17808 // PSERTRANSAM-RXN // PGLYCDEHYDROG-RXN
CPD-7699	""
CPD-10188	RXN-9508
CPD0-1153	""
CPD-12787	RXN-11809 // RXN-11808
CPD0-2363	RXNMETA-12671 // RXN0-6511 // RXN0-6510
CPD-15893	""
INDOLE-3-GLYOXYLATE	RXN-5441 // RXN-5445
CPD-19003	RXN-17580 // RXN-17582
CPD-418	R233-RXN // R232-RXN
3-METHYLOXINDOLE	3-METHYLENEOXINDOLE-REDUCTASE-RXN
CPD-7656	""
CPD-10121	""
CPD0-1088	""
CPD-12755	""
CPD0-2295	""
solanapyrone-E	""
CPD-15553	""
HYPOTAUROCYAMINE	HYPOTAUROCYAMINE-KINASE-RXN
CPD-18931	""
CPD-398	RXN-17529 // RXN-17530
3-HYDROXY-PROPIONATE	3-HYDROXYPROPIONATE-DEHYDROGENASE-RXN // RXN-9086 // RXN-8968 // RXN-8974 // RXN0-5455 // RXN-15370 // TRANS-RXN0-465 // RXN-10986 // RXN-10937 // RXN-9761 // RXN-6384
CPD-7601	RXN-8078 // RXN-8077
CPD-10087	""
CPD0-1024	""
CPD-12582	""
CPD0-2267	""
VINDOLINE	RXN-8201 // 2.3.1.107-RXN
CPD-15429	RXN-14559
HYDROXY-915-DIOXOPROSTA-13-ENOATE	15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN // 1.1.1.141-RXN
CPD-18781	""
CPD-3741	""
3-CARBOXY-3-HYDROXY-ISOCAPROATE	3-ISOPROPYLMALISOM-RXN // RXN-13163 // 2-ISOPROPYLMALATESYN-RXN
CPD-7388	""
CPD-3736	TRANS-RXN0-513 // RXN66-534
3-B-D-GALACTOSYL-SN-GLYCEROL	GALACTOLIPASE-RXN
CPD-7383	RXN-8140 // RXN-7997
CPD-10014	RXN-9383
CPD-9906	RXN-12224 // RXN-9303 // RXN-15614 // RXN-9301 // RXN-12321
CPD-12481	RXN-11521
CPD0-2195	""
TROPINE	RXN-9294 // TROPINE-DEHYDROGENASE-RXN // RXN-8254 // TROPINESTERASE-RXN
CPD-15263	RXN-14413 // RXN-14416 // RXN-14418
GUANIDINOETHYL-METHYL-PHOSPHATE	OPHELINE-KINASE-RXN
CPD-18739	RXN-17339
CPD-3610	""
24DINH2-PENTANOATE	24-DIAMINOPENTANOATE-DEHYDROGENASE-RXN // RXN-18499 // ORNMUTST-RXN
CPD-7262	2.8.2.31-RXN
CIS-34-DEHYDROADIPYL-COA	RXN-2424 // RXN-11053
CPD-9737	RXN-9173 // RXN-9172
CPD-12384	RXN-11428 // RXN-11420 // RXN-18159
CPD0-2140	""
THIOFORMAMIDE	""
CPD-15137	RXN-14156
GLUCOSAMINE-1P	2.3.1.157-RXN // RXN-12231 // RXN0-7139 // 5.4.2.10-RXN
CPD-18619	RXN-17283
CPD-3482	RXN66-183
CPD-7163	2.1.1.90-RXN
2-hydroxy-4-1H-quinolone	RXN-12950 // RXN-12951
CARBOXYMETHYL-HYDROXYPHENYLPROPCOA	RXN-902 // RXN-905
CPD-9632	""
CPD-12223	RXN-11276 // RXN-11274
CPD0-2083	""
TAXA-42011-DIEN-5A13A-DIOL	RXN-8870 // RXN-8861 // 1.14.13.77-RXN
CPD-15020	RXN-14007 // RXN-14006
ETHYL-S-3-HYDROXYHEXANOATE	1.2.1.56-RXN
CPD-18526	""
CPD-324	CATECHOL-OXIDASE-DIMERIZING-RXN
CPD-7058	""
2-MERCAPTOETHANOL	RXN0-6256
C55-PP-GLCNAC-MANNACA-FUC4NAC	TRANS-RXN0-279 // FUC4NACTRANS-RXN
CPD-9618	""
CPD0-2051	""
