"Compound"	"Reactions of compounds"
CPD-10809	RXN-10057 // RXN-14171 // RXN-10058
CPD-12872	RXN-17687
CPD0-1500	""
CPD-16737	RXN-15497 // RXN-15495
CPD-13758	RXN-12751 // RXN-12750
CPD-17192	RXN-15956 // RXN-15955
CPD66-51	RXN66-491 // RXN66-486
CPD-2749	RXN66-104 // RXN66-103 // RXN66-170
CPD-17	R5-RXN // R6-RXN
CPD1UA-44	RXN1UA-50 // RXN1UA-61
N-ACETYLANTHRANILATE	1.13.11.48-RXN
CPD-18816	""
CPD-19447	RXN-18141 // RXN-18140
CPD-12029	RXN-11075 // RXN-11072
CPD-545	MONOMETHYL-SULFATASE-RXN
CPD-18652	""
5-P-BETA-D-RIBOSYL-AMINE	GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN // RXN-14506 // RIBOSE-5-PHOSPHATE--AMMONIA-LIGASE-RXN
CPD-15878	""
CPD-8817	""
CPD-12039	RXN-11079 // RXN-11078
CPD-1076	1.14.99.15-RXN
CPD-2209	RXN-11070 // RXN-6380
CPD0-1477	""
CPD-18613	RXN-17208 // RXN-17223
CPD-13660	""
CPD-12040	RXN-11080 // RXN-11079
CPD0-967	""
CPD-12028	RXN-11072 // RXN-13597 // RXN-11070
CPD-16905	RXN-15674 // RXN-15692 // RXN-15673 // RXN-15672
CPD-18630	RXN-17228 // RXN-17225
N-23-DIHYDROXYBENZOYL-L-SERINE	RXN0-6944 // TRANS-RXN0-449 // RXN0-1661 // RXN-14479 // RXN-14478
CPD-12041	RXN-11081 // RXN-11080
CPD-19424	RXN-18129
CPD-10162	RXN-9480 // RXN-11624
CPD-512	STREPTOMYCIN-3-KINASE-RXN
CPD-10239	RXN-9609 // RXN-9608
5-HYDROXY-FERULOYL-COA	RXN-1123 // RXN-1122
CPD-14875	RXN-13869 // RXN-15414
CPD-867	R546-RXN // R545-RXN
CPD-16741	RXN-15499 // RXN-15735 // RXN-15498
CPD-10672	""
CPD-17196	RXN-15959 // RXN-15961 // RXN-15958
CPD0-1437	""
SALICYLALDEHYDE	RXN-12254 // 1.2.1.65-RXN // RXN-18821 // RXN-12261 // RXN-8615
CPD-13505	""
CPD-10165	RXN-9484 // RXN-9482
CPD0-2627	""
CPD-10242	RXN-9606 // RXN-9605
CPD-16774	""
CPD-16632	RXN-15400
METHYLAMINE	1.21.4.3-RXN // GLUTAMATE--METHYLAMINE-LIGASE-RXN // 2.1.1.21-RXN // RXN-2841 // RXN-8098 // RXN-12901 // RXN-17574 // RXN-16529 // RXN-7262 // 1.5.8.1-RXN // RXN-13088 // N-METHYLALANINE-DEHYDROGENASE-RXN // RXN-15194 // SYNEPHRINE-DEHYDRATASE-RXN // RXN-10913 // RXN-13065 // RXN-8673 // RXN-8100 // N-METHYL-2-OXOGLUTARAMATE-HYDROLASE-RXN // RXN-10908 // ALKYLAMIDASE-RXN // METHYLGUANIDINASE-RXN
CPD-16751	""
CPD-19390	RXN-18090
CPD-17199	RXN-15960 // RXN-15959
CPD-486	""
CPD-16888	RXN-15665
5-4-ACETOXYBUT-1-YNYL-2-2-BITHIOPHENE	3.1.1.54-RXN
CPD-17202	RXN-15968 // RXN-15967
CPD-843	R526-RXN // RXN-8402 // R525-RXN
CPD1A0-6104	RXN1A0-6310 // RXN1A0-6307
CPD-10627	RXN-9881
CPD-10171	RXN-9494 // RXN-9488 // RXN-9491
CPD0-1400	""
CPD-12209	RXN-11256
CPD-13350	RXN-16274 // RXN-12366
CPD-16725	RXN-15484 // RXN-15483
CPD0-2577	""
CPD-18817	""
CPD-16576	""
S-12-EPOXYPROPANE	RXN-8806 // RXN-8805
LOGANATE	LOGANATE-O-METHYLTRANSFERASE-RXN // RXN-4522 // RXN-4521
R-12-EPOXYPROPANE	1.14.13.69-RXN // 4.2.99.19-RXN
CPD-19296	""
CPD-19727	""
CPD-459	RXN-8035 // 2.4.1.114-RXN
CPD-19816	RXN-10451
4-OXOCYCLOHEXANECARBOXYLATE	1.1.1.226-RXN
CPD-11253	RXN-10690 // RXN-10450
CPD-806	R464-RXN // R465-RXN
CPD-11260	RXN-18482 // RXN-10451 // RXN-18481
CPD-10577	RXN-14052 // RXN-18233 // RXN-9830
CPD-7198	RXN-7895 // RXN-7894
CPD0-1330	""
CPD-7280	RXN-7974
CPD-13181	RXN-12265
CPD-7197	RXN-7892 // RXN-7893 // RXN-7891
CPD0-2538	""
CPD-8661	RXN-8477 // RXN-8469 // RXN-15979 // RXN-15980
CPD-16452	RXN-15247
CPD-7206	RXN-7897 // RXN-11783 // RXN-14333
L-PIPECOLATE	L-PIPECOLATE-OXIDASE-RXN // L-PIPECOLATE-DEHYDROGENASE-RXN // RXN-16267 // RXN-8166 // RXN-16682 // RXN-14210 // RXN-10757 // RXN-13654
CPD-17216	RXN-15980 // RXN-15979
CPD-19189	""
CPD-14647	RXN-13643 // RXN-13642
CPD-4522	""
CPD-13369	RXN-14333 // RXN-12393
4-GUANIDO-BUTYRAMIDE	GUANIDINOBUTANAMIDE-NH3-RXN // ARGININE-2-MONOOXYGENASE-RXN
CPD-8668	RXN-15978 // RXN-8477
CPD-790	6-OXOCINEOLE-DEHYDROGENASE-RXN // 6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN
14-APO-BETA-CAROTENAL	1.13.12.12-RXN
CPD-10483	RXN-9778
CPD-7968	RXN-8237 // RXN-8236
CPD0-1262	RXN-16014
CPD-7202	RXN-12394 // RXN-7886 // RXN-7884 // RXN-7883 // RXN-14334 // RXN-7885 // RXN-7895 // RXN-7892
CPD-13061	RXN-12110 // RXN-12109
CPD-14650	RXN-13643
CPD0-2496	""
CPD-13370	RXN-12393
CPD-15999	RXN-8771
CPD-8669	RXN-15978
KYNURENATE	KYNURENINE-78-HYDROXYLASE-RXN // 1.3.99.18-RXN // RXN-10720
CPD-12935	RXN-11998 // RXN-11989
CPD-19065	RXN-17626 // RXN-17625
CPD-8660	RXN-8470 // RXN-8469 // RXN-15980
CPD-4403	RXN-4511 // RXN-4509
CPD-7204	RXN-7883 // RXN-14334 // RXN-10741 // RXN-13642 // RXN-7897
35-DIMETHYLBENZYL-ALCOHOL	""
CPD-15222	RXN-14333
CPD-7789	""
CPD-13373	RXN-12396
CPD-10229	RXN-9586 // RXN-9585
CPD-13368	RXN-12393 // RXN-14334 // RXN-10741
CPD0-1203	""
CPD-16961	RXN-15738 // RXN-15737
CPD-12839	""
CPD-17333	RXN-16084 // RXN-16083
CPD0-2414	RXN-17575
CPD-18021	RXN-16710 // RXN-16709
CPD-15908	RXN-15024 // RXN-15023
CPD-11472	""
ISOBUTYRAMIDE	""
CPD-18006	RXN-16703
CPD-19022	""
CPD-11447	RXN-10643 // RXN-11647 // RXN-10644 // RXN-12722
CPD-422	ANTHRANILATE-N-MALONYLTRANSFERASE-RXN
CPD-17652	RXN-16410 // RXN-16409
3-OXO-DELTA46-CHOLYL-COA	BADEL6OXRED-RXN // BA7DEHYDRA-RXN
CPD-13152	RXN-12260
CPD-7679	RXN-8132
CPD-19285	RXN18HP-9 // RXN18HP-8
CPD-10149	""
CPD-12614	RXN-11651 // RXN-11650
CPD0-1141	""
CPD-19251	RXN18HP-6 // RXN18HP-9
CPD-12782	RXN-11804 // RXN-11801
CPD-12611	RXN-11648 // RXN-11647
CPD0-2355	""
CPD-18007	RXN-16704
CPD-15819	RXN-14894 // 1.14.99.34-RXN
CPD-11470	RXN-10673 // RXN-10672
INDOLE-3-ACETYL-GLN	RXN-2948
CPD-18004	RXN-16709 // RXN-16711
CPD-18979	RXN-17563 // RXN-17562
CPD-17650	RXN-16414 // RXN-16413
CPD-412	RXN-2581 // 2.3.1.133-RXN
CPD-7853	RXN-8193 // RXN-16411 // RXN-16414 // RXN-8192
3-METHYLBENZOYL-COA	RXN-945
CPD-12615	RXN-15626 // RXN-11652 // RXN-11651
CPD-7648	""
CPD-19254	RXN18HP-7 // RXN18HP-6
CPD-101	6-HEXANOLIDE-HYDROLYSIS-RXN // CYCLOHEXANONE-MONOOXYGENASE-RXN
CPD-12612	RXN-11649 // RXN-11648
CPD0-1057	""
CPD-18008	RXN-16711 // RXN-16710 // RXN-16704
CPD-12670	RXN-11711
CPD-11471	RXN-12230 // RXN-10673
CPD0-2289	""
CPD-18005	RXN-16703
XANTHOMMATIN	XANTHOMMATIN-REDUCTASE-RXN
CPD-17651	RXN-16412 // RXN-16411
CPD-15521	RXN-14686
CPD-7953	RXN-11989 // RXN-8217 // RXN-11976
HYDROXYMUCONATE-SALD	3.7.1.9-RXN // RXN-8527 // RXN-15423 // CATECHOL-23-DIOXYGENASE-RXN // RXN-10883
CPD-12936	RXN-12000 // RXN-11999
CPD-18795	""
CPD-19267	RXN18HP-7
CPD-3921	3.5.2.12-RXN
CPD-12613	RXN-11650 // RXN-11649
3-HYDROXY-5917-TRIOXO-45910-DISECOA	RXN-12718 // 1.13.11.25-RXN
CPD1A0-6111	RXN1A0-6316 // RXN1A0-6314
CPD-745	R424-RXN // R423-RXN
CPD-10175	RXN-9499 // RXN-9495 // RXN-9494
CPD-10080	RXN-9449 // RXN-9448
CPD-12869	RXN-11898 // RXN-11897
CPD-9960	RXN-9352 // RXN-9350
CPD-16736	RXN-15495 // RXN-15494
CPD-12576	RXN-11608 // RXN-11607
CPD-13313	""
CPD0-2258	""
CPD-13327	""
VANILLYL-ALCOHOL	1.1.3.38-RXN
CPD-8248	RXN-8431
CPD-15422	RXN-14547 // RXN-14548
CPD-16966	""
HOP-2229-ENE	RXN-13528 // 5.4.99.17-RXN
CPD-9741	RXN-9179
CPD-18776	RXN-17370 // RXN-17366
CPD-13926	RXN-13487 // RXN-12885
CPD-15416	RXN-14543 // RXN-14684 // RXN-14547
CPD-9752	RXN-9187 // RXN-9186
HISTIDINOL	HISTOLDEHYD-RXN // RXN-8001 // HISTIDPHOS-RXN
CPD-9748	RXN-9185
CPD-18767	RXN-17361
CPD-9745	RXN-9184
CPD-3703	""
CPD-9742	RXN-9177
3-34-DIHYDROXYPHENYLLACTATE	""
CPD-16761	""
CPD-7298	""
CPD-9754	RXN-9187
COPROPORPHYRINOGEN_III	RXN0-1461 // HEMN-RXN // RXN-17517 // UROGENDECARBOX-RXN
CPD-9749	RXN-9180 // RXN-9179 // RXN-9178 // RXN-9177 // RXN-9176
CPD-983	RXN-645 // RXN-644
CPD-9746	RXN-9182
CPD-12425	""
CPD-9743	RXN-9178
CPD0-2177	""
CPD-8718	RXN-8861 // RXN-8859
TRIETHYLAMINE	RXN-13590
CPD-13925	RXN-12885 // RXN-13486
CPD-15199	RXN-14304
