"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-7980		"<a href='http://www.hmdb.ca/metabolites/HMDB35094'>HMDB35094</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11386'>C11386</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7793'>7793</a>"
CPD-8294				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91746202'>91746202</a>"
CPD-13382			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18032'>C18032</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657283'>90657283</a>"
CPD-20867			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08267'>C08267</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11862171'>11862171</a>"
CPD-22036				
CPD-8295				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515152'>102515152</a>"
CPD-7849			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15967'>C15967</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061231'>16061231</a>"
CPD-21815			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15441'>C15441</a>"	
17-ALPHA-HYDROXYPROGESTERONE		"<a href='http://www.hmdb.ca/metabolites/HMDB00374'>HMDB00374</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01176'>C01176</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6238'>6238</a>"
CPD-8086				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658491'>90658491</a>"
CPD66-23		"<a href='http://www.hmdb.ca/metabolites/HMDB00363'>HMDB00363</a>"		"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91451'>91451</a>"
CPD-361			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03034'>C03034</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201566'>25201566</a>"
5-BETA-CHOLESTANE-3-ALPHA7-ALPHA12-ALP		"<a href='http://www.hmdb.ca/metabolites/HMDB01457'>HMDB01457</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05454'>C05454</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=160520'>160520</a>"
CPD0-2253				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657405'>90657405</a>"
CPD-21822				
CPD-9767				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25245042'>25245042</a>"
CPD-22035				
CPD-18394				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515430'>102515430</a>"
CPD-9768				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=19743055'>19743055</a>"
CTAB	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-09-0'>57-09-0</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11275'>C11275</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5974'>5974</a>"
CPD-21817				
OLEATE-CPD	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=112-80-1'>112-80-1</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00207'>HMDB00207</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00712'>C00712</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460221'>5460221</a>"
CPD-9245	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=373-49-9'>373-49-9</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB03229'>HMDB03229</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08362'>C08362</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461012'>5461012</a>"
CPD-2184				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658021'>90658021</a>"
CPD-8477		"<a href='http://www.hmdb.ca/metabolites/HMDB02080'>HMDB02080</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08363'>C08363</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461010'>5461010</a>"
CPD-16422				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657252'>90657252</a>"
CPD-22117				
CPD-21823				
CPD-22047				
CPD-21490				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6930847'>6930847</a>"
CPD-22034				
CPD-21096				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820078'>134820078</a>"
CPD-17660				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819803'>91819803</a>"
CPD-21095				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820448'>134820448</a>"
CPD-21092				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820245'>134820245</a>"
CPD-21818				
CPD-15756				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=111123'>111123</a>"
CPD-21091				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820008'>134820008</a>"
CPD-8273				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515175'>102515175</a>"
CPD-21018				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=18625119'>18625119</a>"
CPD-8066			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08238'>C08238</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=441421'>441421</a>"
CPD-15407				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657606'>90657606</a>"
CPD-20689				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=18667942'>18667942</a>"
CPD-19171				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91828284'>91828284</a>"
CPD-15951		"<a href='http://www.hmdb.ca/metabolites/HMDB00918'>HMDB00918</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14641'>C14641</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5283632'>5283632</a>"
CPD-20394				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=57455225'>57455225</a>"
CPD-20393				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841600'>131841600</a>"
CPD-22033				
CPD-8274				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514938'>102514938</a>"
CPD-20392				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5461014'>5461014</a>"
CPD-11251				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123587'>44123587</a>"
CPD-19611				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126961145'>126961145</a>"
CPD-19574				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=40507921'>40507921</a>"
CPD-21830				
CPD-20883				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820005'>134820005</a>"
CPD-19573				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86306154'>86306154</a>"
CPD-8389				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515396'>102515396</a>"
CPD-19336				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706327'>122706327</a>"
CPD-13945				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658558'>90658558</a>"
CPD-19335				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706549'>122706549</a>"
CPD-21819				
CPD-18593				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515057'>102515057</a>"
CPD-18592				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515134'>102515134</a>"
CPD-16388				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71627147'>71627147</a>"
CPD-8341				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514974'>102514974</a>"
CPD-18204				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515450'>102515450</a>"
CPD-20690				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11273547'>11273547</a>"
CPD-18002				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820145'>91820145</a>"
CPD-17910				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20848996'>20848996</a>"
CPD-21814			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11251'>C11251</a>"	
CPD-22025				
CPD-20876				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820068'>134820068</a>"
CPD-17693				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7017975'>7017975</a>"
CPD-18637				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706042'>122706042</a>"
