"Compound"	"CAS"	"HMDB"	"KEGG"	"PubChem"
CPD-10654				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7931'>7931</a>"
3S-CITRYL-COA			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00566'>C00566</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49859699'>49859699</a>"
ISOVALERYL-COA	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=6244-91-3'>6244-91-3</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01113'>HMDB01113</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02939'>C02939</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266576'>45266576</a>"
CPD-76			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01291'>C01291</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706398'>122706398</a>"
CPD0-1284				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820341'>134820341</a>"
CPD-317			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02015'>C02015</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25200721'>25200721</a>"
DPG	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1981-49-3'>1981-49-3</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01270'>HMDB01270</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00236'>C00236</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46878409'>46878409</a>"
CPD-15287				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657500'>90657500</a>"
CPD-21418				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134819992'>134819992</a>"
CPD-20580				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=74281453'>74281453</a>"
CPD-17635				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91666366'>91666366</a>"
CPD-15691				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658857'>90658857</a>"
CPD-9190			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19792'>C19792</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53262367'>53262367</a>"
25-DICHLOROPHENOL	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=583-78-8'>583-78-8</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB41800'>HMDB41800</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06602'>C06602</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12777545'>12777545</a>"
CPD-15663				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72193739'>72193739</a>"
CPD-15566				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659084'>90659084</a>"
CPD0-2279				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=123131523'>123131523</a>"
CPD-14407				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71581179'>71581179</a>"
CPD-8905			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05366'>C05366</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73399'>73399</a>"
CPD-12902			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16470'>C16470</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=50986179'>50986179</a>"
CPD-9189				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53262383'>53262383</a>"
CPD0-1193				
CPD-18091				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515381'>102515381</a>"
CPD-12114				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135874845'>135874845</a>"
CPD-21406				
CPD-17403				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91819821'>91819821</a>"
CPD-1083	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=6247-62-7'>6247-62-7</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB02054'>HMDB02054</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03345'>C03345</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266534'>45266534</a>"
CPD-21407				
3-HYDROXY-PROPIONYL-COA		"<a href='http://www.hmdb.ca/metabolites/HMDB06807'>HMDB06807</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05668'>C05668</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44229175'>44229175</a>"
CPD-21409				
GLUTACONYL-COA	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=6712-05-6'>6712-05-6</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01290'>HMDB01290</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02411'>C02411</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266582'>45266582</a>"
CPD-20964				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126843495'>126843495</a>"
CPD-11890				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45479415'>45479415</a>"
CPD-7257		"<a href='http://www.hmdb.ca/metabolites/HMDB06891'>HMDB06891</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05467'>C05467</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266665'>45266665</a>"
CPD-22140				
CPD-21415				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820407'>134820407</a>"
CPD-21368				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134819968'>134819968</a>"
CPD-20207				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135886637'>135886637</a>"
CPD-20963				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126843494'>126843494</a>"
CPD-14999				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658401'>90658401</a>"
CPD-17263				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72551470'>72551470</a>"
CPD-15688				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657300'>90657300</a>"
CPD-15659				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657267'>90657267</a>"
CPD-15367				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91820205'>91820205</a>"
CPD-13015				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=91972250'>91972250</a>"
CPD-11220				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44123416'>44123416</a>"
CPD-14404				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=70698343'>70698343</a>"
CPD-8134				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5283637'>5283637</a>"
CPD-12716			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19775'>C19775</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49859652'>49859652</a>"
CPD-15545				
CPD-698		"<a href='http://www.hmdb.ca/metabolites/HMDB12196'>HMDB12196</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15785'>C15785</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11988279'>11988279</a>"
CPD-11881			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07303'>C07303</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45479648'>45479648</a>"
CPD-8906			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20455'>C20455</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12309636'>12309636</a>"
CPD-12496				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52931381'>52931381</a>"
CPD-10066			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11421'>C11421</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658752'>90658752</a>"
CPD-13013				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=53262331'>53262331</a>"
CPD-16539				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659301'>90659301</a>"
CPD-720			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15801'>C15801</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061346'>16061346</a>"
3-HYDROXY-3-4-METHYLPENT-3-EN-1-YLG-COA		"<a href='http://www.hmdb.ca/metabolites/HMDB60372'>HMDB60372</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04675'>C04675</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266572'>45266572</a>"
GLY	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=56-40-6'>56-40-6</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB00123'>HMDB00123</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5257127'>5257127</a>"
CPD-15568		"<a href='http://www.hmdb.ca/metabolites/HMDB03946'>HMDB03946</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05273'>C05273</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46173185'>46173185</a>"
CPD-3946		"<a href='http://www.hmdb.ca/metabolites/HMDB12112'>HMDB12112</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15797'>C15797</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46878488'>46878488</a>"
SINAPOYL-COA			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00411'>C00411</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44229225'>44229225</a>"
CPD-11840				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514936'>102514936</a>"
FERULOYL-COA			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00406'>C00406</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44229137'>44229137</a>"
CPD-717			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15800'>C15800</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061345'>16061345</a>"
CPD-71		"<a href='http://www.hmdb.ca/metabolites/HMDB60305'>HMDB60305</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15613'>C15613</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266721'>45266721</a>"
ALPHA-D-MANNOSYL-3-PHOSPHOGLYCERATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11516'>C11516</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135398051'>135398051</a>"
CPD-3941				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201490'>25201490</a>"
CPD-10858				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=118604'>118604</a>"
CPD-22107				
CPD-11827				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16681673'>16681673</a>"
CPD-21412				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820285'>134820285</a>"
CPD-714			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15790'>C15790</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15341086'>15341086</a>"
CPD-19601				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126961177'>126961177</a>"
CPD-17422				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515138'>102515138</a>"
CPD-18270				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515076'>102515076</a>"
CPD-17245				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659862'>90659862</a>"
3-ADPGLYCERATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02509'>C02509</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25203584'>25203584</a>"
CPD-16536				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515296'>102515296</a>"
CPD-711			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15788'>C15788</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061348'>16061348</a>"
CPD-15685				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657959'>90657959</a>"
CPD-19879				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126456488'>126456488</a>"
CPD-12501				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46926128'>46926128</a>"
CPD-15656				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=86289266'>86289266</a>"
CPD-10358		"<a href='http://www.hmdb.ca/metabolites/HMDB38365'>HMDB38365</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12127'>C12127</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=65084'>65084</a>"
CPDQT-326				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11038340'>11038340</a>"
CPD-15363			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16530'>C16530</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71581011'>71581011</a>"
CPD0-2443				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=443753'>443753</a>"
CPD-707		"<a href='http://www.hmdb.ca/metabolites/HMDB02869'>HMDB02869</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01789'>C01789</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=173183'>173183</a>"
CPD-14300				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71581100'>71581100</a>"
3-ADP-2-PHOSPHOGLYCERATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03673'>C03673</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25201089'>25201089</a>"
CPD-12497				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46926207'>46926207</a>"
CPD-10626				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=18909'>18909</a>"
CPD-12679				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49859732'>49859732</a>"
CPD-723		"<a href='http://www.hmdb.ca/metabolites/HMDB33984'>HMDB33984</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15802'>C15802</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13870433'>13870433</a>"
CPD-11527				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126961143'>126961143</a>"
CPD-12769				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52940154'>52940154</a>"
CPD-634			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15794'>C15794</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=133534'>133534</a>"
BETA-ALANYL-COA			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02335'>C02335</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658776'>90658776</a>"
L-ERYTHRO-4-HYDROXY-GLUTAMATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05947'>C05947</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6971086'>6971086</a>"
CPD-12493				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45480560'>45480560</a>"
2-METHYL-3-HYDROXY-BUTYRYL-COA		"<a href='http://www.hmdb.ca/metabolites/HMDB01356'>HMDB01356</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04405'>C04405</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266551'>45266551</a>"
23-DIPHOSPHOGLYCERATE		"<a href='http://www.hmdb.ca/metabolites/HMDB01294'>HMDB01294</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01159'>C01159</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25200383'>25200383</a>"
CPD-16528				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658034'>90658034</a>"
CPD-718			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15792'>C15792</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=14353979'>14353979</a>"
OXALYL-COA			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00313'>C00313</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266609'>45266609</a>"
CPD-19880				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126456489'>126456489</a>"
CPD-10262		"<a href='http://www.hmdb.ca/metabolites/HMDB06529'>HMDB06529</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16218'>C16218</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25244344'>25244344</a>"
CPD-3943			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15795'>C15795</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15341628'>15341628</a>"
CROTONOBETAINYL-COA				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49852356'>49852356</a>"
CPD-11835				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515299'>102515299</a>"
CPD-22104				
CPD-715			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15799'>C15799</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11144580'>11144580</a>"
CPD-21181				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134160357'>134160357</a>"
2-O-ALPHA-MANNOSYL-D-GLYCERATE			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11544'>C11544</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46878394'>46878394</a>"
CPD-21739				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10983436'>10983436</a>"
CPD-21178				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820502'>134820502</a>"
CPD-18821				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706504'>122706504</a>"
CPD-712			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15798'>C15798</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061344'>16061344</a>"
CPD-16851				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658729'>90658729</a>"
CPD-17420				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515372'>102515372</a>"
CPD-15678				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658908'>90658908</a>"
CPD-17704				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857563'>6857563</a>"
CPDQT-522				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102514996'>102514996</a>"
LIPID-IV-A			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04919'>C04919</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10329123'>10329123</a>"
CPD-15653				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=122706540'>122706540</a>"
CPD-37			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04053'>C04053</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9548606'>9548606</a>"
CPD-18095				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515275'>102515275</a>"
CPD-709		"<a href='http://www.hmdb.ca/metabolites/HMDB12116'>HMDB12116</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15786'>C15786</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061343'>16061343</a>"
CPD-14809				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658319'>90658319</a>"
CPD-19881				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126456490'>126456490</a>"
CPD-12498				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46926315'>46926315</a>"
CPD-13555				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=93093'>93093</a>"
CPD-1961		"<a href='http://www.hmdb.ca/metabolites/HMDB02780'>HMDB02780</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06562'>C06562</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9064'>9064</a>"
CPD-724			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15803'>C15803</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15542699'>15542699</a>"
CPD-12648				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49859697'>49859697</a>"
CPD0-1676				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60966'>60966</a>"
CPD-697			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08814'>C08814</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=102515088'>102515088</a>"
CPD-11524				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=126961124'>126961124</a>"
ISOORIENTIN	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=4261-42-1'>4261-42-1</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01821'>C01821</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=49852298'>49852298</a>"
CPD-12495				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11048310'>11048310</a>"
CPD-16775			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18428'>C18428</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3120'>3120</a>"
ACRYLYL-COA	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=5776-58-9'>5776-58-9</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB02307'>HMDB02307</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00894'>C00894</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266595'>45266595</a>"
CPD-719		"<a href='http://www.hmdb.ca/metabolites/HMDB34423'>HMDB34423</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15793'>C15793</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13475120'>13475120</a>"
MALONYL-COA	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=524-14-1'>524-14-1</a>"	"<a href='http://www.hmdb.ca/metabolites/HMDB01175'>HMDB01175</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266608'>45266608</a>"
CPD0-2139				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135397899'>135397899</a>"
CPD-3945		"<a href='http://www.hmdb.ca/metabolites/HMDB12113'>HMDB12113</a>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15796'>C15796</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15341631'>15341631</a>"
CPD-5943				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7251179'>7251179</a>"
CPD-9409			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06027'>C06027</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90659337'>90659337</a>"
CPD-16412				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12303787'>12303787</a>"
CPD-11837				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11144543'>11144543</a>"
CPD-514			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07118'>C07118</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25203310'>25203310</a>"
CPD-15294				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658505'>90658505</a>"
ISOVITEXIN	"<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=38953-85-4'>38953-85-4</a>"		"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01714'>C01714</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25202038'>25202038</a>"
CPD-716			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15791'>C15791</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13475125'>13475125</a>"
CPD-21498				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=134820385'>134820385</a>"
CPD-16384				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658248'>90658248</a>"
CPD-22045				
CPD-21740				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13870428'>13870428</a>"
CPD-20684				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=131841550'>131841550</a>"
CPD-713			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15789'>C15789</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16061347'>16061347</a>"
CPD-1827			"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01920'>C01920</a>"	"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45266603'>45266603</a>"
CPD-15087				"<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90657677'>90657677</a>"
